num_of_cases,recent_cases_in_cluster,total_cases_in_cluster
16,62,70
3,2,6
4,9,12
8,16,22
6,12,12
6,18,18
9,20,25
128,450,1135
1164,2376,15084
294,664,2489
36,59,152
13,32,36
34,97,141
15,16,19
410,1183,12122
4,6,6
612,1393,9495
301,753,2390
166,595,3701
128,454,1078
69,233,390
31,61,83
3,6,6
16,26,35
399,1583,7783
2,4,4
15,31,50
74,283,768
77,475,1477
19,30,59
84,144,771
182,518,1110
108,295,720
4,8,8
151,508,1034
428,981,16354
29,34,73
3,3,3
16,30,40
6,5,30
6,6,12
4,12,13
13,17,47
2,2,2
12,6,72
4,7,8
9,14,42
90,95,1219
9,17,23
25,48,58
299,809,3161
64,186,384
5,8,10
30,94,215
2,4,4
2,2,2
175,786,2724
60,137,246
18,81,162
25,41,86
8,17,17
1,3,3
3,9,9
10,22,22
1,5,5
3,6,6
3,6,9
27,73,162
12,32,32
50,117,292
2,2,2
445,3005,13707
19,17,73
24,70,85
234,274,3241
45,27,323
30,67,183
4,8,8
150,312,7682
4,4,4
3,3,132
18,34,49
5,10,25
26,87,242
25,110,250
28,21,55
2,2,2
6,12,24
69,151,1009
70,78,1060
36,44,166
4,16,16
45,52,414
2,4,4
227,559,3497
331,752,2779
166,594,3020
26,26,88
2,4,4
71,412,786
7,14,17
467,979,19765
13,19,42
1,2,2
109,399,762
366,527,4212
58,27,826
27,38,144
8,8,13
8,14,47
4,9,12
8,12,17
1,2,2
281,365,2575
93,494,1714
13,43,81
49,278,643
326,861,5330
49,113,255
37,152,527
40,102,291
242,1746,3608
17,25,52
6,7,9
220,1064,4637
3,9,9
4,2,8
21,36,90
2,4,4
4,8,8
10,24,28
38,94,192
38,35,266
40,150,256
4,2,8
2,4,4
2,2,2
5,7,13
15,50,75
19,41,70
3,4,8
14,37,55
19,59,90
52,152,302
158,312,2201
26,33,89
4,8,8
2,4,4
35,80,170
176,1008,10330
3,4,6
8,10,11
85,190,608
44,256,592
93,402,940
8,20,32
4,2,4
3,4,6
94,205,566
1,2,3
4,6,6
70,148,902
122,691,1284
9,14,25
2,4,4
7,9,17
9,16,21
113,491,1551
1192,2479,15028
325,902,3262
39,78,186
12,22,28
18,65,101
12,20,26
289,1629,4987
5,8,8
692,2051,11014
265,756,2354
156,666,3910
64,310,506
77,273,521
2,2,2
47,102,156
20,26,34
3,4,6
347,1750,8505
9,14,18
89,416,1009
99,598,1987
2,2,2
30,87,110
132,213,716
4,2,4
122,305,810
14,24,34
207,984,1814
5,5,5
403,878,16048
42,57,120
25,83,121
247,197,3503
5,6,15
11,8,56
159,364,8070
6,5,8
3,1,134
29,57,92
6,12,36
36,43,345
31,117,403
49,51,108
2,4,4
2,2,2
12,14,36
82,161,1299
87,122,1309
37,39,166
4,8,16
6,10,12
2,2,2
38,74,148
344,640,3845
95,226,732
36,118,300
7,10,14
3,1,3
235,852,3703
85,237,424
33,186,407
48,79,187
10,23,26
5,13,13
8,8,10
24,100,120
2,6,9
2,4,4
2,2,4
6,8,12
9,16,16
4,12,16
27,67,267
25,151,197
2,4,4
47,110,333
3,2,3
496,1682,16638
27,30,120
214,255,3719
260,497,2669
161,406,3391
31,27,127
3,4,6
96,531,1301
2,4,4
354,342,19532
11,12,27
2,2,3
35,37,301
321,349,3875
14,31,43
45,121,242
16,64,91
13,22,69
6,13,16
1,2,3
222,296,2090
98,178,1944
9,32,88
6,6,12
60,202,811
326,539,5857
69,172,426
37,56,518
38,75,287
30,50,124
11,24,33
263,1029,5855
24,24,124
2,2,4
10,15,29
49,84,306
43,22,329
57,163,387
6,4,12
2,2,4
10,9,12
2,2,4
17,24,102
3,6,9
38,60,148
7,16,32
22,50,96
19,69,115
83,271,494
294,912,3049
31,64,95
7,19,29
47,119,221
204,1616,11569
5,4,10
88,328,848
142,275,899
51,174,678
119,436,1220
4,6,6
3,6,6
5,6,10
120,420,955
8,12,16
3,3,3
81,209,1070
158,1054,1980
11,19,29
25,45,117
301,1984,6172
15,47,71
105,343,1877
397,574,3517
166,431,2047
34,70,230
5,8,10
13,46,78
4,9,12
245,1239,5121
216,162,3722
162,238,1881
2,2,2
29,42,101
38,60,277
42,83,196
4,8,16
7,12,21
77,227,793
2,4,4
66,200,1050
2,2,2
73,44,1628
4,2,4
7,14,14
23,55,95
116,120,721
2,2,2
65,165,414
21,63,99
123,272,1279
3,3,3
105,341,740
31,34,94
29,61,152
114,307,1416
9,26,33
17,22,78
146,118,8212
3,6,9
43,69,151
13,28,80
33,40,339
32,52,416
2,4,4
58,108,165
9,8,18
101,316,1719
34,121,156
16,24,39
7,14,22
2,2,4
6,10,10
82,444,616
961,2297,11774
192,481,1711
24,50,70
6,10,12
6,20,20
2,4,4
145,639,1824
13,15,17
703,1818,11678
208,586,1413
113,457,2521
113,475,1007
37,99,250
30,45,75
2,4,4
12,10,24
238,1715,5439
1,2,7
51,222,411
51,309,712
4,3,4
5,10,13
13,27,39
68,214,324
2,2,2
70,230,398
8,16,16
135,273,896
3,3,3
553,1782,20269
42,47,160
219,304,4098
453,1085,4880
206,314,3723
21,42,66
2,2,4
118,481,1579
4,8,8
2,2,2
373,720,20437
2,2,2
141,463,1672
304,357,2795
17,47,58
68,146,360
24,77,107
9,17,44
3,2,6
3,2,6
2,4,4
197,291,2126
5,8,10
3,3,9
2,6,6
14,18,28
78,204,930
364,708,6333
69,167,503
2,2,2
